State,Number of workers,"Percent Car, truck,or van drove alone","Percent Car, truck,or van carpooled","Percent Public transportation (excluding taxicab)",Percent Walked,"Percent Taxicab, motorcycle, bicycle or other means",Percent Worked at home,Mean travel time to work (minutes),
Alabama,"1,983,610",86.4,8.5,0.5,1.0,1.0,2.5,23.6,
Alaska,"357,776",66.7,13.0,1.8,8.8,5.4,4.3,18.4,
Arizona,"2,754,451",76.3,11.0,2.4,2.1,2.8,5.5,23.4,
Arkansas,"1,223,214",83.4,10.1,0.5,1.7,1.5,2.8,20.8,
California,"16,745,843",73.2,10.9,5.3,2.7,2.6,5.2,26.4,
Colorado,"2,577,184",74.7,9.7,3.3,2.9,2.5,6.9,22.9,
Connecticut,"1,736,156",77.9,8.3,5.1,3.1,1.2,4.3,24.4,
Delaware,"423,542",80.3,9.1,3.5,2.1,1.2,3.7,24.5,
District of Columbia,"330,087",32.3,5.3,38.5,13.6,5.9,4.4,28.6,
Florida,"8,353,263",79.6,9.4,2.1,1.5,2.2,5.1,24.8,
Georgia,"4,291,263",79.6,10.3,2.1,1.5,1.7,4.9,25.7,
Hawaii,"672,446",67.6,13.5,6.1,4.2,4.2,4.4,25.6,
Idaho,"696,905",78.8,9.6,0.7,3.1,2.3,5.5,19.0,
Illinois,"5,973,263",73.6,8.3,9.1,3.1,1.6,4.2,26.9,
Indiana,"2,974,599",83.0,8.8,1.2,2.0,1.7,3.3,22.4,
Iowa,"1,547,508",80.9,8.6,1.1,3.7,1.6,4.2,18.1,
Kansas,"1,389,013",82.4,9.1,0.5,2.5,1.5,4.0,18.4,
Kentucky,"1,866,676",82.8,9.6,1.1,2.3,1.2,3.2,21.9,
Louisiana,"1,984,437",82.6,9.6,1.3,1.7,2.3,2.4,24.6,
Maine,"629,171",77.4,10.6,0.7,3.9,1.6,5.7,22.0,
Maryland,"2,946,590",74.0,9.0,9.1,2.4,1.2,4.2,31.1,
Massachusetts,"3,326,313",71.8,7.4,9.9,4.8,1.7,4.4,27.3,
Michigan,"4,274,964",82.4,8.8,1.5,2.2,1.3,3.8,23.1,
Minnesota,"2,773,626",78.4,8.6,3.6,2.9,1.6,4.9,21.9,
Mississippi,"1,181,081",84.0,10.3,0.4,1.5,1.7,1.9,23.2,
Missouri,"2,773,780",81.7,9.2,1.6,2.0,1.4,4.1,22.3,
Montana,"475,287",75.1,10.1,0.7,5.3,2.8,6.0,16.9,
Nebraska,"954,452",81.5,9.3,0.8,2.7,1.3,4.4,17.3,
Nevada,"1,246,513",78.4,10.5,3.4,2.2,1.9,3.6,22.8,
New Hampshire,"677,618",81.2,8.1,1.0,3.1,1.1,5.4,25.4,
New Jersey,"4,166,286",72.0,8.0,11.1,2.9,2.0,4.0,29.7,
New Mexico,"865,357",79.2,10.5,1.1,2.3,2.6,4.4,20.5,
New York,"9,024,559",52.8,6.9,27.9,6.4,2.0,4.0,30.8,
North Carolina,"4,348,669",81.1,10.0,1.1,1.9,1.3,4.5,22.8,
North Dakota,"387,697",79.0,10.1,0.4,4.5,1.6,4.4,17.1,
Ohio,"5,241,598",83.6,7.8,1.7,2.2,1.2,3.5,22.4,
Oklahoma,"1,703,568",83.4,9.7,0.5,1.7,1.4,3.4,20.6,
Oregon,"1,745,718",71.6,10.3,4.3,4.0,3.5,6.3,21.4,
Pennsylvania,"5,867,765",76.8,8.3,5.6,3.9,1.5,3.9,25.0,
Rhode Island,"505,361",80.3,8.0,2.7,4.1,1.8,3.1,23.2,
South Carolina,"2,064,944",82.9,9.0,0.7,2.5,1.6,3.3,22.9,
South Dakota,"427,117",79.7,9.2,0.3,4.2,1.4,5.2,16.1,
Tennessee,"2,837,090",83.9,9.2,0.7,1.4,1.3,3.5,23.7,
Texas,"11,939,372",80.2,10.7,1.6,1.6,1.8,4.1,24.4,
Utah,"1,307,408",76.0,11.8,2.3,2.6,2.1,5.1,20.1,
Vermont,"314,505",75.4,9.7,1.2,5.3,1.6,6.8,21.0,
Virginia,"4,018,400",77.4,9.4,4.4,2.5,1.8,4.5,26.4,
Washington,"3,204,510",72.7,10.1,6.3,3.5,2.2,5.3,24.6,
West Virginia,"738,848",81.5,10.8,0.7,2.8,1.2,3.1,25.0,
Wisconsin,"2,822,070",80.5,8.2,2.0,3.5,1.7,4.1,21.2,
Wyoming,"290,906",77.1,10.8,1.5,4.6,2.3,3.7,16.9,
"United States, total","142,962,379",76.4,9.4,5.2,2.8,1.9,4.4,24.7
